date (utc),logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"May 15, 2020 at 10:08:41 PM",3.94 KB,???,???,???,???,???
"May 16, 2020 at 10:08:41 PM",4.00 KB,0,0,0,0,0
"May 17, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"May 18, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"May 19, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"May 20, 2020 at 10:09:41 PM",4.00 KB,0,0,0,0,0
"May 21, 2020 at 10:08:41 PM",4.00 KB,0,0,0,0,0
"July 5, 2020 at 10:09:42 PM",16.01 KB,???,???,???,???,???
"July 6, 2020 at 10:08:42 PM",36.42 KB,0.10912670836228863,0.0028955293027565438,0.0010423905489923557,0,0.0000463284688441047
"July 7, 2020 at 10:08:42 PM",36.63 KB,0.0981712962962963,0.0019444444444444444,0.0006828703703703704,0,0.000011574074074074073
"July 8, 2020 at 9:08:42 PM",43.49 KB,0.10946859903381642,0.0036956521739130435,0.0015217391304347826,0,0.000024154589371980676
"July 9, 2020 at 3:08:42 PM",72.76 KB,0.09768518518518518,0.0014814814814814814,0.0005555555555555556,0,0
"July 10, 2020 at 4:09:42 PM",72.84 KB,0.09892294026204752,0.004230512991339108,0.0018987341772151898,0,0.000011103708638685321
"July 11, 2020 at 5:08:42 PM",73.07 KB,0.10986213030909495,0.0046920169001556595,0.0016566599955525907,0,0.000022237046920169
"July 12, 2020 at 6:09:42 PM",73.13 KB,0.09754608039085054,0.0015434155007772595,0.00029980013324450367,0,0
"July 13, 2020 at 10:08:42 PM",73.13 KB,0.17999801469128449,0.0010323605320627358,0.00024816358943815766,0,0
"July 14, 2020 at 10:09:42 PM",73.13 KB,0.19334952579227388,0.0006476983576220218,0.0002775850104094379,0,0
"July 15, 2020 at 10:08:41 PM",73.10 KB,???,???,???,0,???
"July 16, 2020 at 10:08:41 PM",73.06 KB,0.1987962962962963,0.0008680555555555555,0.0003587962962962963,0,0
"July 17, 2020 at 10:09:41 PM",73.06 KB,0.18400416377515613,0.000613000231320842,0.0003007170946102244,0,0
"July 18, 2020 at 10:08:41 PM",78.60 KB,0.1085823488533704,0.017465832754227473,0.0004748668056520732,0,???
"July 19, 2020 at 10:09:41 PM",109.21 KB,0.10431413370344668,0.12450844321073329,0.0007170946102243813,0.000011566042100393246,0.00002313208420078649
"July 20, 2020 at 9:09:41 PM",109.26 KB,0.09771739130434783,0.11533816425120773,0.0005434782608695652,0.000024154589371980676,0.000024154589371980676
"July 21, 2020 at 10:08:41 PM",109.30 KB,0.10162330442517234,0.11544362908605738,0.0010340226817878585,0.0000111185234600845,0.0000111185234600845
"July 22, 2020 at 10:08:41 PM",109.28 KB,0.09701387990612223,0.10270832382330335,0.0010069443512088563,0.000034722219007201945,0.000023148146004801296
"July 23, 2020 at 12:18:41 AM",109.27 KB,0.0969231763314629,0.10948729178183772,0.00038461577909310675,0,0.00012820525969770225
"July 23, 2020 at 10:09:41 PM",109.31 KB,???,???,???,???,???
"July 24, 2020 at 10:08:41 PM",109.31 KB,0.09738244151030809,0,0,0,0
"July 25, 2020 at 10:08:41 PM",109.41 KB,0.08158564814814814,0,0,0,0
"July 26, 2020 at 10:09:41 PM",109.55 KB,0.09516539440203563,0,0,0,0
"July 27, 2020 at 10:08:41 PM",109.66 KB,0.09569145239749827,0,0,0,0
"July 27, 2020 at 11:09:41 PM",109.66 KB,0.08934426229508197,0,0,0,0
"July 28, 2020 at 6:08:41 AM",109.71 KB,0.09383452665075577,0,0,0,0
"July 28, 2020 at 11:08:41 PM",109.73 KB,0.09609477124183007,0,0,0,0
"July 29, 2020 at 11:08:41 PM",109.88 KB,0.09737268518518519,0,0,0,0
"July 30, 2020 at 11:08:41 PM",110.00 KB,0.09648148148148149,0,0,0,0
"July 31, 2020 at 11:08:41 PM",110.20 KB,0.09435185185185185,0,0,0,0
"August 1, 2020 at 11:09:41 PM",110.32 KB,0.09551237566504742,0,0,0,0
"August 2, 2020 at 11:08:41 PM",110.41 KB,0.09603891591382904,0,0,0,0
"August 3, 2020 at 11:08:41 PM",110.49 KB,0.08354166666666667,0,0,0,0
"August 4, 2020 at 11:08:41 PM",110.52 KB,0.09538194444444445,0,0,0,0
"August 5, 2020 at 4:08:41 AM",110.39 KB,0.09622222222222222,0,0,0,0
"August 5, 2020 at 11:08:41 PM",110.51 KB,0.09725146198830409,0,0,0,0
"August 6, 2020 at 10:08:41 AM",110.97 KB,0.09785353535353536,0,0,0,0
"August 6, 2020 at 11:09:41 PM",111.02 KB,0.09440887750746906,0,0,0,0
"August 7, 2020 at 4:09:41 PM",111.59 KB,0.09727124183006536,0,0,0,0
"August 7, 2020 at 11:09:41 PM",111.66 KB,0.09551587301587301,0,0,0,0
"August 8, 2020 at 10:09:41 PM",112.02 KB,0.09626811594202898,0,0,0,0
"August 8, 2020 at 11:09:41 PM",112.05 KB,0.07722222222222222,0,0,0,0
"August 9, 2020 at 10:08:41 PM",112.77 KB,0.09708726130045928,0,0,0,0
"August 9, 2020 at 11:08:41 PM",112.78 KB,0.09805555555555556,0,0,0,0
"August 10, 2020 at 10:09:41 PM",113.25 KB,0.09470190683079893,0,0,0,0
"August 10, 2020 at 11:09:41 PM",113.26 KB,0.09777777777777778,0,0,0,0
"August 11, 2020 at 10:09:41 PM",113.50 KB,0.08184782608695652,0,0,0,0
"August 11, 2020 at 11:09:41 PM",113.50 KB,0.09777777777777778,0,0,0,0
"August 12, 2020 at 10:09:41 PM",113.50 KB,0.09716183574879227,0,0,0,0
"August 12, 2020 at 11:08:41 PM",113.50 KB,0.0980225988700565,0,0,0,0
"August 13, 2020 at 9:09:41 PM",113.54 KB,0.0952182689881403,0,0,0,0
"August 13, 2020 at 11:09:41 PM",113.54 KB,0.09638888888888889,0,0,0,0
"August 14, 2020 at 10:09:41 PM",113.72 KB,0.09654588788974107,0,0,0,0
"August 15, 2020 at 10:09:41 PM",113.74 KB,0.09695602412939955,0,0,0,0
"August 16, 2020 at 12:14:41 AM",113.79 KB,0.09373333333333334,0,0,0,0
"August 16, 2020 at 10:08:41 PM",113.79 KB,0.09790715372907154,???,???,???,0
"August 17, 2020 at 10:09:41 PM",113.79 KB,0.09690030071709461,0.28194540828128617,0.0034119824196160073,0.00002313208420078649,???
"August 18, 2020 at 10:09:41 PM",113.85 KB,0.0977662037037037,0.23853009259259259,0.0020949074074074073,0,0.000011574074074074073
"August 19, 2020 at 10:08:42 PM",113.93 KB,???,???,???,???,???
"August 20, 2020 at 10:08:42 PM",114.03 KB,0.07769675925925926,0.1905324074074074,0.0023148148148148147,0.000011574074074074073,0.000011574074074074073
"August 21, 2020 at 10:08:42 PM",114.20 KB,0.09685185185185186,0.2477777777777778,0.0028703703703703703,0.000011574074074074073,0.000023148148148148147
"August 22, 2020 at 10:09:42 PM",114.27 KB,0.09627573444367338,0.24722414989590563,0.0019315290307656719,0.000011566042100393246,0
"August 23, 2020 at 10:08:42 PM",114.29 KB,0.09581885568681955,0.26050498031040076,0.0015751679406995598,0.000011582117211026175,0.00002316423442205235
"August 24, 2020 at 10:08:42 PM",114.42 KB,0.09693287037037036,0.2441435185185185,0.002523148148148148,0,0.000011574074074074073
"August 25, 2020 at 10:08:42 PM",114.57 KB,0.09724537037037037,0.27251157407407406,0.0021412037037037038,0,0.000023148148148148147
"August 26, 2020 at 10:08:42 PM",114.79 KB,0.09649305555555555,0.26210648148148147,0.00636574074074074,0.000023148148148148147,0.000011574074074074073
"August 27, 2020 at 10:08:42 PM",114.95 KB,0.08998842592592593,0.25505787037037037,0.006828703703703704,0,0.000011574074074074073
"August 28, 2020 at 12:08:42 AM",114.96 KB,0.09763888888888889,0.3238888888888889,0.006111111111111111,0,0
"August 28, 2020 at 10:09:42 PM",114.96 KB,0.0922154933131466,0,0,0,0
"August 29, 2020 at 10:08:42 PM",114.96 KB,0.09441741950428538,0,0,0,0
"August 30, 2020 at 10:08:42 PM",115.12 KB,0.09568287037037038,0,0,0,0
"August 31, 2020 at 10:08:42 PM",115.31 KB,0.09511574074074074,0,0,0,0
"September 1, 2020 at 10:08:42 PM",115.34 KB,0.09590277777777778,0,0,0,0
"September 2, 2020 at 10:09:42 PM",115.34 KB,0.09070090215128383,0,0,0,0
"September 3, 2020 at 10:08:42 PM",115.36 KB,0.10096131572851517,0,0,0,0
"September 4, 2020 at 8:08:42 PM",116.04 KB,0.097260101010101,0,0,0,0
