date (utc),logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"September 5, 2020 at 10:09:42 PM",116.82 KB,0.10103566090113175,0,0,0,0
"September 6, 2020 at 10:08:42 PM",117.02 KB,0.09722029186935371,0,0,0,0
"September 7, 2020 at 10:08:42 PM",117.02 KB,0.09723379629629629,0,0,0,0
"September 8, 2020 at 10:08:42 PM",117.01 KB,0.09721064814814814,0,0,0,0
"September 9, 2020 at 10:09:41 PM",117.04 KB,???,???,???,???,???
"September 10, 2020 at 12:16:41 AM",116.99 KB,0.09632545931758531,0,0,0,0
"September 10, 2020 at 10:08:41 PM",116.99 KB,0.09752286585365853,???,???,???,0
"September 11, 2020 at 10:09:41 PM",116.99 KB,0.09750173490631506,0.2685750636132316,0.0016886421466574138,0.000011566042100393246,0
"September 12, 2020 at 10:08:41 PM",117.10 KB,0.0975677553856845,0.26059763724808893,0.0018068102849200835,0.000034746351633078526,???
"September 13, 2020 at 10:08:41 PM",117.15 KB,0.09712962962962964,0.23846064814814816,0.0028819444444444444,0,0
"September 14, 2020 at 9:08:41 PM",117.37 KB,0.09725845410628019,0.17223429951690822,0.002282608695652174,0,0.000012077294685990338
"September 15, 2020 at 10:09:41 PM",117.82 KB,0.0978791916500111,0.1756606706640018,0.0035531867643793028,0.000044414834554741284,0.00011103708638685321
"September 16, 2020 at 10:09:41 PM",119.52 KB,0.09905092592592593,0.17645833333333333,0.0007754629629629629,0.000023148148148148147,0.0001273148148148148
"September 17, 2020 at 10:08:41 PM",120.29 KB,0.09769515867500579,0.19785730831596016,0.00025480657864257586,0.00008107482047718323,0.00015056752374334028
"September 18, 2020 at 8:08:41 PM",120.78 KB,0.10223484848484848,0.24420454545454545,0.0001388888888888889,0.00003787878787878788,0.00007575757575757576
"September 19, 2020 at 9:08:41 PM",122.00 KB,0.08986666666666666,0.25153333333333333,0.00008888888888888889,0,0.0001
"September 20, 2020 at 9:09:41 PM",122.64 KB,0.10225537820957668,0.26116123062687946,0.0002544529262086514,0.00003469812630117974,0.00009252833680314597
"September 21, 2020 at 10:09:41 PM",123.19 KB,0.09763333333333334,0.25643333333333335,0.0003333333333333333,0.000033333333333333335,0.000033333333333333335
"September 22, 2020 at 9:09:41 PM",123.07 KB,0.097427535055223,0.28306762943155034,0.00038647342528413736,0.000024154589080258585,0.000012077294540129292
"September 23, 2020 at 10:09:41 PM",123.16 KB,0.09767777886308644,0.293555558817284,0.00027777778086419757,0.000044444444938271614,0.00003333333370370371
"September 24, 2020 at 10:08:41 PM",122.90 KB,0.0976140838545286,0.5011003011350474,0.00019689599258744498,0.000011582117211026175,0.000034746351633078526
"September 25, 2020 at 9:08:41 PM",123.37 KB,0.08219806763285024,0.23903381642512078,0.00032608695652173916,0.000024154589371980676,0.00006038647342995169
"September 26, 2020 at 10:08:41 PM",123.84 KB,0.1948888888888889,0.2822777777777778,0.00018888888888888888,0.000011111111111111112,0.000033333333333333335
"September 27, 2020 at 10:08:41 PM",123.89 KB,0.19497685185185185,0.32886574074074076,0.00019675925925925926,0.00003472222222222222,0.00003472222222222222
"September 28, 2020 at 10:09:41 PM",123.78 KB,0.19186907240342355,0.32162849872773536,0.00013879250520471896,0.00002313208420078649,0.000011566042100393246
"September 29, 2020 at 10:08:41 PM",123.92 KB,0.19461431549687283,0.3400046328468844,0.00020847810979847116,0.000011582117211026175,0.00005791058605513088
"September 30, 2020 at 9:08:41 PM",124.41 KB,???,???,???,???,???
"October 1, 2020 at 9:09:41 PM",124.34 KB,0.1963798288225769,0.36208651399491093,???,0.00004626416840157298,???
"October 2, 2020 at 10:08:41 PM",124.33 KB,0.194996664442962,0.44370691572159215,0.000133422281521014,0.000044474093840338,0.0000555926173004225
"October 3, 2020 at 12:03:41 AM",124.32 KB,0.1956521739130435,0.5501449275362319,0,0,0
"October 3, 2020 at 10:08:41 PM",124.64 KB,0.1951949685534591,0.000440251572327044,0,0,0
"October 4, 2020 at 9:09:41 PM",124.46 KB,0.19501568911416847,0,0,0,0
"October 5, 2020 at 10:08:41 PM",124.61 KB,0.19481876806760062,0,0,0,0
"October 6, 2020 at 10:08:41 PM",124.81 KB,0.19435185185185186,0,0,0,0
"October 7, 2020 at 10:08:42 PM",124.89 KB,???,???,???,???,???
"October 8, 2020 at 12:13:42 AM",124.99 KB,0.19533333333333333,0,0,0,0
"October 8, 2020 at 10:08:42 PM",125.13 KB,0.19935361216730038,???,???,???,???
"October 9, 2020 at 10:08:42 PM",125.23 KB,0.19512731481481482,0.4416203703703704,0.00009259259259259259,0.000023148148148148147,0.000023148148148148147
"October 10, 2020 at 10:08:42 PM",125.34 KB,0.1968287037037037,0.4112384259259259,0.00024305555555555555,0.000011574074074074073,0.000011574074074074073
"October 11, 2020 at 10:09:42 PM",125.27 KB,0.2015498496414527,0.35919500346981265,0.000011566042100393246,0.000011566042100393246,0.000011566042100393246
"October 12, 2020 at 10:08:42 PM",125.31 KB,0.19469539031735,0.3643386611072504,0.00006949270326615705,0.00002316423442205235,0.00002316423442205235
"October 13, 2020 at 10:08:42 PM",125.27 KB,0.1923726851851852,0.38255787037037037,0,0.000011574074074074073,0.000011574074074074073
"October 14, 2020 at 10:09:42 PM",125.26 KB,0.1938352995604904,0.3752833680314596,0.00006939625260235948,0.00002313208420078649,0.000011566042100393246
"October 15, 2020 at 10:08:42 PM",125.16 KB,0.19437109103544128,0.4576094510076442,0.00005791058605513088,0,0.000011582117211026175
"October 16, 2020 at 9:08:41 PM",125.14 KB,???,???,???,???,???
"October 17, 2020 at 7:08:41 PM",125.21 KB,0.2034090909090909,0.5290782828282828,???,0.000025252525252525253,0.00003787878787878788
"October 18, 2020 at 7:09:41 PM",125.35 KB,0.20733287069164932,0.46997455470737914,0.0001272264631043257,0.000011566042100393246,0.00003469812630117974
"October 19, 2020 at 5:08:41 PM",125.54 KB,0.19072529694212786,0.3746146070255244,0.00005054334091483447,0,0
"October 20, 2020 at 3:08:41 PM",125.68 KB,0.20073232323232323,0.46172979797979796,0.000050505050505050505,0,0.00003787878787878788
"October 21, 2020 at 2:08:41 PM",126.10 KB,0.18340579710144927,0.3690579710144928,0.000036231884057971014,0,0.000012077294685990338
"October 22, 2020 at 2:08:41 PM",126.04 KB,???,???,???,???,???
"October 23, 2020 at 2:08:41 PM",125.87 KB,0.19474537037037037,0.38109953703703703,0.000046296296296296294,???,0
"October 24, 2020 at 2:09:41 PM",125.99 KB,0.1995026601896831,0.36371732593106637,0.00004626416840157298,0,???
"October 25, 2020 at 3:08:41 PM",125.99 KB,0.18244385145652658,0.2913497887480543,0,0,0
"October 26, 2020 at 9:08:41 AM",126.19 KB,0.19089506172839507,0.2594444444444444,0.0001388888888888889,0,0.0000154320987654321
"October 27, 2020 at 6:08:41 PM",126.05 KB,0.18765993265993267,0.315050505050505,0.00015993265993265992,0.000008417508417508417,0
"October 28, 2020 at 10:09:41 PM",126.05 KB,0.19324806662700772,0.35474915724767003,0,0,0
"October 29, 2020 at 10:09:41 PM",126.18 KB,0.190625,0.3601736111111111,0.00003472222222222222,0.000011574074074074073,0.000011574074074074073
"October 30, 2020 at 10:09:41 PM",125.99 KB,0.17759259259259258,0.3589236111111111,0.000046296296296296294,0,0
"October 31, 2020 at 10:09:41 PM",126.01 KB,0.17626154347311165,0.338171237586012,0.00010416664858217907,0,0.000011574072064686563
"November 1, 2020 at 10:08:41 PM",126.13 KB,0.19543667977241366,0.38618260125942805,0,0.000023164238446416224,0.000023164238446416224
"November 2, 2020 at 10:09:41 PM",126.13 KB,0.19526948878093917,0.4323502197547999,0,0,0
"November 3, 2020 at 10:08:41 PM",126.14 KB,0.182742645355571,0.49126708362288624,0.00002316423442205235,0,0
"November 4, 2020 at 10:08:41 PM",126.51 KB,0.19267361111111111,0.4579861111111111,0.000011574074074074073,0.000011574074074074073,0.000046296296296296294
"November 5, 2020 at 10:09:41 PM",126.64 KB,0.1878556557945871,0.48328706916493175,0.000011566042100393246,0.000011566042100393246,0.000011566042100393246
"November 6, 2020 at 10:09:41 PM",126.42 KB,0.19570601851851852,0.4952662037037037,0.00005787037037037037,0.000011574074074074073,0
"November 7, 2020 at 10:08:41 PM",126.42 KB,0.1824415103080843,0.4324415103080843,0,0.000011582117211026175,0.000011582117211026175
"November 8, 2020 at 10:09:41 PM",126.39 KB,0.1922854499190377,0.2472472819801064,0.00005783021050196623,0.000011566042100393246,0
"November 9, 2020 at 10:09:41 PM",126.50 KB,0.19546296296296295,0.22395833333333334,0,0,0.000023148148148148147
"November 10, 2020 at 10:08:41 PM",126.58 KB,0.1949965253648367,0.25028955293027566,0,0.000011582117211026175,0.000011582117211026175
"November 11, 2020 at 10:09:41 PM",126.51 KB,0.18793661808928985,0.2952232246125376,0.00002313208420078649,0.000011566042100393246,0
"November 12, 2020 at 10:08:41 PM",126.41 KB,0.17749594625897613,0.27807505211952743,0.00005791058605513088,0,0
"November 13, 2020 at 10:08:41 PM",126.41 KB,0.19363425925925926,0.27164351851851853,0.000011574074074074073,0,0
"November 14, 2020 at 10:08:41 PM",126.40 KB,0.1960300925925926,0.2555439814814815,0,0,0
"November 15, 2020 at 10:09:41 PM",126.41 KB,0.19665741383298635,0.2631390238260467,0,0.000011566042100393246,0.000011566042100393246
"November 16, 2020 at 10:08:41 PM",126.40 KB,0.18640259439425527,0.2618485059068798,0,0,0
"November 17, 2020 at 10:08:41 PM",126.40 KB,0.19064814814814815,0.2837152777777778,0.000011574074074074073,0,0
"November 18, 2020 at 10:08:41 PM",126.40 KB,0.1709490740740741,0.28447916666666667,0,0,0
"November 19, 2020 at 10:08:41 PM",126.40 KB,0.19008101851851852,0.2823148148148148,0,0,0
"November 20, 2020 at 10:08:41 PM",126.40 KB,0.17394675925925926,0.2831712962962963,0.000046296296296296294,0,0
"November 21, 2020 at 10:08:41 PM",126.40 KB,0.16863425925925926,0.2597685185185185,0,0,0
"November 22, 2020 at 10:08:41 PM",126.40 KB,0.20038194444444443,0.26515046296296296,0,0,0
"November 23, 2020 at 10:09:41 PM",126.53 KB,0.1957205644228545,0.2782905389775619,0,0,0.000011566042100393246
"November 24, 2020 at 10:09:41 PM",126.42 KB,0.18984953703703702,0.27538194444444447,0.00005787037037037037,0.000011574074074074073,0
"November 25, 2020 at 10:08:41 PM",126.44 KB,0.16900625434329394,0.22156590224693073,0,0,0.000011582117211026175
"November 26, 2020 at 10:08:41 PM",126.54 KB,0.1928125,0.25243055555555555,0,0,0
"November 27, 2020 at 10:09:41 PM",126.54 KB,0.1683321767291233,0.22066851723340272,0,0.000011566042100393246,0.000011566042100393246
"November 28, 2020 at 10:08:41 PM",126.54 KB,0.17266620338197822,0.1781908732916377,0,0,0
"November 29, 2020 at 10:08:41 PM",126.54 KB,0.18311342592592592,0.2191898148148148,0,0,0
"November 30, 2020 at 10:08:41 PM",126.64 KB,0.1883101851851852,0.2269212962962963,0,0,0.000011574074074074073
"December 1, 2020 at 10:08:41 PM",126.73 KB,0.1988425925925926,0.3134375,0.00011574074074074075,0,0.000011574074074074073
"December 2, 2020 at 10:08:41 PM",126.88 KB,0.1947800925925926,0.27449074074074076,0.000011574074074074073,0,0.000011574074074074073
"December 3, 2020 at 10:09:41 PM",126.93 KB,0.18569280592181356,0.2723108952116586,0,0,0
"December 4, 2020 at 1:13:41 AM",126.93 KB,0.1651268115942029,0.3423913043478261,0,0,0
"December 4, 2020 at 10:08:41 PM",126.93 KB,???,???,???,???,???
"December 5, 2020 at 10:09:41 PM",126.93 KB,0.1926324311820495,0,0,0,0
"December 6, 2020 at 10:08:41 PM",127.04 KB,0.1953555709983785,0,0,0,0
"December 7, 2020 at 10:08:41 PM",126.97 KB,0.1713310185185185,0,0,0,0
"December 8, 2020 at 10:08:41 PM",127.11 KB,0.19457175925925926,0,0,0,0
"December 9, 2020 at 10:08:41 PM",127.35 KB,0.1929050925925926,0,0,0,0
"December 10, 2020 at 10:08:41 PM",127.36 KB,0.17719907407407406,0,0,0,0
"December 11, 2020 at 10:09:41 PM",127.24 KB,0.18204950266018968,0,0,0,0
"December 12, 2020 at 10:09:41 PM",127.36 KB,0.19387731481481482,0,0,0,0
"December 13, 2020 at 10:08:41 PM",127.29 KB,0.17396340050961315,0,0,0,0
"December 14, 2020 at 10:08:41 PM",128.27 KB,0.18986111111111112,0,0,0,0
"December 15, 2020 at 10:08:41 PM",128.70 KB,0.18435185185185185,0,0,0,0
"December 16, 2020 at 10:08:41 PM",129.17 KB,0.18288194444444444,0,0,0,0
"December 17, 2020 at 10:09:41 PM",127.07 KB,0.15157298172565348,0,0,0,0
"December 18, 2020 at 10:08:41 PM",120.45 KB,0.170349779939773,0,0,0,0
"December 19, 2020 at 1:21:41 AM",120.73 KB,0.19369602763385146,0,0,0,0
"December 19, 2020 at 10:08:42 PM",120.59 KB,???,???,???,???,0
"December 20, 2020 at 10:08:42 PM",120.47 KB,0.20048611111111111,0.06189814814814815,0.020775462962962964,0,0
"December 21, 2020 at 10:08:42 PM",120.45 KB,0.16609953703703703,0.05361111111111111,0.020092592592592592,0,0
"December 21, 2020 at 11:08:42 PM",120.46 KB,0.19777777777777777,0.06555555555555556,0.02361111111111111,0,0
"December 22, 2020 at 10:08:42 PM",120.83 KB,0.16301932367149757,0.05071256038647343,0.019057971014492754,0,0
"December 23, 2020 at 10:08:42 PM",120.87 KB,0.11885416666666666,0.07510416666666667,0.020289351851851854,0,???
"December 24, 2020 at 10:08:42 PM",120.61 KB,0.10209490740740741,0.05915509259259259,0.018819444444444444,0.000011574074074074073,0.000011574074074074073
"December 25, 2020 at 10:08:42 PM",120.31 KB,0.17837962962962964,0.03667824074074074,0.013101851851851852,0,0
"December 26, 2020 at 10:09:42 PM",120.06 KB,0.17272727272727273,0.03213046495489243,0.012849872773536896,0,0
"December 27, 2020 at 10:08:42 PM",120.06 KB,0.19135974056057448,0.040931202223766505,0.015253648366921474,0.000011582117211026175,0
"December 28, 2020 at 10:08:42 PM",120.13 KB,0.24858796296296296,0.020300925925925927,0.006238425925925926,0.000011574074074074073,0
"December 29, 2020 at 10:08:42 PM",120.18 KB,0.28024305555555556,0.02304398148148148,0.006400462962962963,0,0
"December 30, 2020 at 10:09:42 PM",120.18 KB,0.24736294240111034,0.01450381679389313,0.0036895674300254453,0,0
"December 31, 2020 at 10:08:42 PM",120.30 KB,0.2857076673615937,0.023280055594162612,0.0070071809126708365,0,0
"January 1, 2021 at 10:08:42 PM",120.45 KB,0.32636574074074076,0.02582175925925926,0.008402777777777778,0,0
"January 2, 2021 at 10:09:42 PM",120.60 KB,0.2957552625491557,0.024392782789729353,0.00801526717557252,0,0
"January 3, 2021 at 10:09:42 PM",120.51 KB,0.2928703703703704,0.02480324074074074,0.007372685185185185,0,0
"January 4, 2021 at 10:08:42 PM",120.69 KB,0.2921357424137132,0.08852212184387306,0.05825804957146166,0,0
"January 5, 2021 at 10:08:41 PM",120.70 KB,???,???,???,???,???
"January 6, 2021 at 10:09:41 PM",120.46 KB,0.2921350913717326,0.03398103169095536,0.010744853111265325,???,0
"January 7, 2021 at 1:20:41 AM",120.66 KB,0.29581151832460734,0.03289703315881326,0.012041884816753926,0,0
"January 7, 2021 at 10:08:41 PM",120.79 KB,0.2919337606837607,0.000013354700854700855,0,0,0
"January 8, 2021 at 10:09:41 PM",120.97 KB,0.2948993754337266,0,0,0,0
"January 9, 2021 at 10:08:41 PM",120.90 KB,0.29027102154273804,0,0,0,0
"January 10, 2021 at 10:08:41 PM",120.74 KB,0.28850694444444447,0,0,0,0
"January 11, 2021 at 10:08:41 PM",120.21 KB,0.29052083333333334,0,0,0,0
"January 12, 2021 at 10:08:41 PM",120.54 KB,0.2914814814814815,0,0,0,0
"January 13, 2021 at 10:08:41 PM",120.80 KB,0.2916666666666667,0,0,0,0
"January 14, 2021 at 10:08:41 PM",120.75 KB,0.29215277777777776,0,0,0,0
"January 15, 2021 at 10:08:41 PM",120.32 KB,0.29255787037037034,0,0,0,0
"January 16, 2021 at 10:08:41 PM",120.12 KB,0.2884259259259259,0,0,0,0
"January 17, 2021 at 1:30:41 AM",119.61 KB,0.28704620462046204,0,0,0,0
"January 17, 2021 at 10:09:41 PM",119.73 KB,???,???,???,???,0
"January 18, 2021 at 10:08:41 PM",120.29 KB,0.29329395413481585,0.02511003011350475,0.008397034977993977,0,0
"January 19, 2021 at 10:09:41 PM",120.66 KB,0.29321073328706915,0.0236294240111034,0.006789266712930835,0,0
"January 20, 2021 at 10:08:41 PM",121.13 KB,0.2955408848737549,0.02574704656011119,0.008431781329627056,0,0
"January 21, 2021 at 10:08:41 PM",121.22 KB,0.29614583333333333,0.025451388888888888,0.007858796296296296,0,0
"January 22, 2021 at 10:08:41 PM",121.28 KB,0.2921990740740741,0.024918981481481483,0.008020833333333333,0,???
"January 23, 2021 at 10:09:41 PM",121.39 KB,0.3002891510525098,0.02662502891510525,0.007587323617857969,0,0
"January 24, 2021 at 10:09:41 PM",121.39 KB,0.2929861111111111,0.02396990740740741,0.007349537037037037,0,0
"January 25, 2021 at 10:09:41 PM",121.39 KB,0.2800578703703704,0.024618055555555556,0.006643518518518518,0,0
"January 26, 2021 at 10:09:41 PM",121.52 KB,0.2920023148148148,0.02730324074074074,0.0076851851851851855,???,0
"January 27, 2021 at 10:08:41 PM",121.41 KB,0.29235580264072275,0.027032661570535094,0.008802409080379893,0.00002316423442205235,0
"January 28, 2021 at 10:42:41 AM",121.37 KB,0.29199823165340405,0.03063660477453581,0.008841732979664015,0,0
"January 28, 2021 at 10:08:41 PM",121.37 KB,0.2935860058309038,0.0000728862973760933,0,0,0
"January 29, 2021 at 10:09:41 PM",120.76 KB,???,???,???,???,???
"January 30, 2021 at 10:08:41 PM",120.45 KB,0.28950660180681026,0,0,0,0
"January 31, 2021 at 10:08:41 PM",120.52 KB,0.2911574074074074,0,0,0,0
"February 1, 2021 at 8:08:41 PM",120.55 KB,0.2925252525252525,0,0,0,0
"February 2, 2021 at 10:08:41 PM",120.59 KB,0.29169871794871793,0,0,0,0
"February 3, 2021 at 10:08:41 PM",120.68 KB,0.2884027777777778,0,0,0,0
"February 4, 2021 at 10:08:41 PM",120.83 KB,0.2909953703703704,0,0,0,0
"February 5, 2021 at 10:08:41 PM",120.92 KB,0.2912384259259259,0,0,0,0
"February 6, 2021 at 10:08:41 PM",120.99 KB,0.29094907407407405,0,0,0,0
"February 7, 2021 at 10:08:41 PM",121.00 KB,0.2926388888888889,0,0,0,0
"February 8, 2021 at 10:08:41 PM",121.06 KB,0.2923148148148148,0,0,0,0
"February 9, 2021 at 10:08:41 PM",121.08 KB,0.29130787037037037,0,0,0,0
"February 10, 2021 at 10:09:41 PM",121.13 KB,0.2905852417302799,0,0,0,0
"February 11, 2021 at 10:08:41 PM",121.13 KB,0.2889622422978921,0,0,0,0
"February 12, 2021 at 10:09:41 PM",121.17 KB,0.2909206569511913,0,0,0,0
"February 13, 2021 at 10:08:41 PM",121.26 KB,0.2909775306926106,0,0,0,0
"February 14, 2021 at 10:08:41 PM",121.31 KB,0.29074074074074074,0,0,0,0
"February 15, 2021 at 10:08:41 PM",121.31 KB,0.29246527777777775,0,0,0,0
"February 16, 2021 at 10:08:41 PM",121.32 KB,0.2877314814814815,0,0,0,0
"February 17, 2021 at 10:09:41 PM",121.34 KB,0.2918459403192228,0,0,0,0
