date (utc),logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"August 13, 2020 at 11:09:41 PM",113.54 KB,0.09765840220385676,0.24338842975206612,0.010743801652892562,0,0
"August 14, 2020 at 10:09:41 PM",113.72 KB,0.09693236714975846,0.23118357487922706,0.0017632850241545894,0.000012077294685990338,0.000012077294685990338
"August 15, 2020 at 10:09:41 PM",113.74 KB,0.09741898148148148,0.2414236111111111,0.0031134259259259257,0,0
"August 16, 2020 at 12:16:41 AM",113.79 KB,0.09724409448818898,0.26614173228346455,0.00826771653543307,0,0
"August 16, 2020 at 10:09:41 PM",113.79 KB,0.09755013962934755,0.000025387154100025386,0,0,0
"August 17, 2020 at 10:08:41 PM",113.79 KB,0.09671067871206857,0,0,0,0
"August 18, 2020 at 10:08:41 PM",113.85 KB,0.09763888888888889,0,0,0,0
"August 19, 2020 at 10:09:41 PM",113.93 KB,???,???,???,???,???
"August 20, 2020 at 10:08:41 PM",114.03 KB,0.07718322909427844,0,0,0,0
"August 21, 2020 at 10:08:41 PM",114.20 KB,0.09631944444444444,0,0,0,0
"August 22, 2020 at 10:09:41 PM",114.27 KB,0.0955470737913486,0,0,0,0
"August 23, 2020 at 10:09:41 PM",114.29 KB,0.09366898148148148,0,0,0,0
"August 24, 2020 at 10:08:41 PM",114.42 KB,0.0963284688441047,0,0,0,0
"August 25, 2020 at 10:08:41 PM",114.57 KB,0.09660879629629629,0,0,0,0
"August 26, 2020 at 10:08:41 PM",114.79 KB,0.09534722222222222,0,0,0,0
"August 27, 2020 at 10:08:41 PM",114.95 KB,0.0891087962962963,0,0,0,0
"August 28, 2020 at 12:08:41 AM",114.96 KB,0.0973611111111111,0,0,0,0
"August 28, 2020 at 10:08:41 PM",114.96 KB,0.09400252525252525,???,???,0,0
"August 29, 2020 at 10:09:41 PM",114.96 KB,0.09536201711774231,0.24969928290538979,0.0031806615776081423,???,???
"August 30, 2020 at 10:09:41 PM",115.12 KB,0.096875,0.25949074074074074,0.004212962962962963,0,0.000023148148148148147
"August 31, 2020 at 10:08:41 PM",115.31 KB,0.09554088487375492,0.30851285615010426,0.005466759323604355,0.000034746351633078526,0
"September 1, 2020 at 10:08:41 PM",115.34 KB,0.0966550925925926,0.2889583333333333,0.005659722222222222,0,0
"September 2, 2020 at 10:08:41 PM",115.34 KB,0.09197916666666667,0.23658564814814814,0.004131944444444444,0.000023148148148148147,0
"September 3, 2020 at 9:08:41 PM",115.36 KB,0.10153381642512077,0.2646256038647343,0.004057971014492754,0.000012077294685990338,0.000012077294685990338
"September 4, 2020 at 8:09:41 PM",116.04 KB,0.09770697562153029,0.24125030171373402,0.00333091962346126,0,0.000024137098720733766
"September 5, 2020 at 10:09:41 PM",116.82 KB,0.10146367521367522,0.2340491452991453,0.00391025641025641,0.000010683760683760684,0.000021367521367521368
"September 6, 2020 at 10:09:41 PM",117.02 KB,0.0974074074074074,0.21640046296296298,0.0021180555555555558,0,0
