date (utc),connections,logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"April 14, 2021 at 10:08:42 PM",113.33 KB,0.29233796296296294,0,0,0,0
"April 15, 2021 at 10:09:42 PM",113.34 KB,0.2920194309507287,0,0,0,0
"April 16, 2021 at 12:14:42 AM",113.34 KB,0.2888,0,0,0,0
"April 16, 2021 at 10:08:42 PM",113.34 KB,0.29165398274987314,0,0,0,0
"April 17, 2021 at 10:09:42 PM",113.34 KB,0.2928174878556558,0,0,0,0
"April 18, 2021 at 10:08:42 PM",113.34 KB,0.2928654157980079,0,0,0,0
"April 19, 2021 at 10:09:42 PM",113.34 KB,0.2931644691186676,0,0,0,0
"April 20, 2021 at 12:06:42 AM",113.34 KB,0.2905982905982906,0,0,0,0
"April 20, 2021 at 10:09:33 PM",113.36 KB,???,0,0,0,0
"April 21, 2021 at 11:09:33 PM",113.34 KB,0.2932111111111111,0,0,0,0
"April 22, 2021 at 10:09:33 PM",113.33 KB,0.2860024154589372,0,0,0,0
"April 23, 2021 at 10:09:33 PM",113.33 KB,0.293125,0,0,0,0
"April 24, 2021 at 10:09:33 PM",113.35 KB,0.2936111111111111,0,0,0,0
"April 25, 2021 at 10:09:33 PM",113.35 KB,0.2447337962962963,0,0,0,0
"April 26, 2021 at 10:09:33 PM",113.35 KB,0.1944212962962963,0,0,0,0
"April 27, 2021 at 10:09:33 PM",113.35 KB,0.19479166666666667,0,0,0,0
"April 28, 2021 at 10:09:33 PM",113.35 KB,0.19449074074074074,0,0,0,0
"April 29, 2021 at 10:08:42 PM",113.35 KB,???,0,0,0,0
"April 30, 2021 at 10:08:42 PM",113.35 KB,0.19516203703703705,0,0,0,0
"May 1, 2021 at 10:08:42 PM",113.34 KB,0.2549537037037037,0,0,0,0
"May 2, 2021 at 10:08:42 PM",113.33 KB,0.29150462962962964,0,0,0,0
"May 3, 2021 at 10:08:42 PM",113.35 KB,0.2863888888888889,0,0,0,0
"May 4, 2021 at 10:08:42 PM",113.36 KB,0.2925347222222222,0,0,0,0
"May 5, 2021 at 10:09:42 PM",113.37 KB,???,0,0,0,0
"May 6, 2021 at 10:09:42 PM",113.37 KB,0.29310185185185184,0,0,0,0
"May 7, 2021 at 10:08:42 PM",113.36 KB,0.292031503358814,0,0,0,0
"May 8, 2021 at 10:09:42 PM",113.36 KB,0.2885380522785103,0,0,0,0
"May 9, 2021 at 10:08:42 PM",113.36 KB,0.292471623812833,0,0,0,0
"May 10, 2021 at 10:08:42 PM",113.36 KB,0.2920601851851852,0,0,0,0
"May 11, 2021 at 10:08:42 PM",113.36 KB,0.2924421296296296,0,0,0,0
"May 12, 2021 at 10:09:42 PM",113.36 KB,0.2912792042563035,0,0,0,0
"May 13, 2021 at 12:16:42 AM",113.31 KB,0.29238845144356956,0,0,0,0
"May 13, 2021 at 10:08:42 PM",114.54 KB,0.29291158536585366,0,0,0,0
"May 14, 2021 at 10:09:42 PM",117.39 KB,0.2919731667823271,0,0,0,0
"May 15, 2021 at 10:09:42 PM",117.40 KB,0.2924421296296296,0,0,0,0
"May 16, 2021 at 10:08:42 PM",117.40 KB,0.2920662497104471,0,0,0,0
"May 17, 2021 at 10:08:42 PM",117.39 KB,0.29002314814814817,0,0,0,0
"May 18, 2021 at 10:08:42 PM",117.39 KB,0.2901273148148148,0,0,0,0
"May 19, 2021 at 10:09:42 PM",117.39 KB,0.2922623178348369,0,0,0,0
"May 20, 2021 at 10:08:42 PM",117.39 KB,0.2903520963632152,0,0,0,0
"May 21, 2021 at 8:09:41 PM",117.39 KB,???,0,0,0,0
"May 22, 2021 at 10:09:41 PM",117.41 KB,0.29205128205128206,0,0,0,0
"May 23, 2021 at 10:08:41 PM",117.45 KB,0.29222839935140144,0,0,0,0
"May 24, 2021 at 10:08:41 PM",117.45 KB,0.29064814814814816,0,0,0,0
"May 25, 2021 at 10:08:42 PM",117.46 KB,???,0,0,0,0
"May 26, 2021 at 10:09:42 PM",117.47 KB,0.19360397871848253,0,0,0,0
"May 27, 2021 at 10:08:42 PM",117.47 KB,0.19396571693305537,0,0,0,0
"May 28, 2021 at 10:09:42 PM",117.81 KB,0.17753874624103633,0,0,0,0
"May 29, 2021 at 10:08:42 PM",130.12 KB,0.11550845494556405,0,0,0,0
"May 30, 2021 at 10:09:42 PM",141.54 KB,0.21429562803608604,0,0,0,0
"May 31, 2021 at 12:09:42 AM",141.54 KB,0.19611111111111112,0,0,0,0
"May 31, 2021 at 10:08:42 PM",141.54 KB,0.19206469547637098,0,0,0,0
"June 1, 2021 at 10:08:42 PM",141.52 KB,0.3032523148148148,0,0,0,0
"June 2, 2021 at 10:08:42 PM",145.05 KB,0.38751157407407405,0,0,0,0
"June 3, 2021 at 9:08:42 PM",153.64 KB,0.38913043478260867,0,0,0,0
"June 4, 2021 at 10:08:42 PM",153.63 KB,0.37605555555555553,0,0,0,0
"June 5, 2021 at 10:08:42 PM",153.63 KB,0.3877777777777778,0,0,0,0
"June 6, 2021 at 10:08:42 PM",153.64 KB,0.39025462962962965,0,0,0,0
"June 7, 2021 at 10:08:42 PM",153.63 KB,0.38935185185185184,0,0,0,0
"June 8, 2021 at 10:08:42 PM",153.64 KB,0.3894444444444444,0,0,0,0
"June 9, 2021 at 10:08:42 PM",153.66 KB,0.38708333333333333,0,0,0,0
"June 10, 2021 at 10:07:42 PM",153.65 KB,0.3887074357192495,0,0,0,0
"June 11, 2021 at 10:09:42 PM",153.64 KB,0.38432732316227464,0,0,0,0
"June 12, 2021 at 10:08:42 PM",153.63 KB,0.38642575862867734,0,0,0,0
"June 13, 2021 at 10:09:42 PM",153.63 KB,0.38654869303724265,0,0,0,0
"June 14, 2021 at 10:08:42 PM",153.63 KB,0.3882325689135974,0,0,0,0
"June 15, 2021 at 10:09:42 PM",153.63 KB,0.3876705991209808,0,0,0,0
"June 16, 2021 at 10:08:42 PM",147.23 KB,0.3877345378735233,0,0,0,0
"June 16, 2021 at 11:09:42 PM",146.50 KB,0.39043715846994537,0,0,0,0
"June 17, 2021 at 10:09:42 PM",129.51 KB,0.38804347826086955,0,0,0,0
"June 18, 2021 at 10:09:42 PM",129.51 KB,0.37797453703703704,0,0,0,0
"June 19, 2021 at 10:08:42 PM",129.51 KB,0.3874218207088256,0,0,0,0
"June 20, 2021 at 10:09:42 PM",129.51 KB,0.38661808928984503,0,0,0,0
"June 21, 2021 at 10:09:42 PM",129.51 KB,0.3879050925925926,0,0,0,0
"June 22, 2021 at 12:09:42 AM",129.51 KB,0.3879166666666667,0,0,0,0
"June 22, 2021 at 9:08:41 PM",129.51 KB,???,0,0,0,0
"June 23, 2021 at 9:09:41 PM",129.51 KB,0.3891279204256303,0,0,0,0
"June 24, 2021 at 9:09:41 PM",129.53 KB,0.3882407407407407,0,0,0,0
"June 25, 2021 at 9:09:41 PM",129.52 KB,0.364375,0,0,0,0
"June 26, 2021 at 10:09:41 PM",129.54 KB,0.2876444444444444,0,0,0,0
"June 27, 2021 at 10:09:41 PM",129.54 KB,0.2857986111111111,0,0,0,0
"June 28, 2021 at 10:09:41 PM",129.54 KB,0.29116898148148146,0,0,0,0
"June 29, 2021 at 10:09:41 PM",129.54 KB,0.28866898148148146,0,0,0,0
"June 30, 2021 at 10:09:41 PM",129.54 KB,0.28857638888888887,0,0,0,0
"July 1, 2021 at 10:09:41 PM",129.52 KB,???,0,0,0,0
"July 2, 2021 at 10:09:41 PM",129.51 KB,0.37961805555555556,0,0,0,0
"July 3, 2021 at 10:09:41 PM",129.51 KB,0.38763888888888887,0,0,0,0
"July 4, 2021 at 10:09:41 PM",129.51 KB,0.3847800925925926,0,0,0,0
"July 5, 2021 at 10:09:41 PM",129.51 KB,0.3853009259259259,0,0,0,0
"July 6, 2021 at 10:09:41 PM",129.51 KB,0.3816550925925926,0,0,0,0
"July 7, 2021 at 10:09:41 PM",129.51 KB,0.3859722222222222,0,0,0,0
"July 8, 2021 at 10:09:41 PM",129.51 KB,0.37903935185185184,0,0,0,0
"July 9, 2021 at 9:09:41 PM",129.51 KB,???,0,0,0,0
"July 10, 2021 at 10:09:41 PM",129.51 KB,0.3814888888888889,0,0,0,0
"July 11, 2021 at 10:09:41 PM",129.51 KB,0.38751157407407405,0,0,0,0
"July 12, 2021 at 10:09:41 PM",129.51 KB,0.38296296296296295,0,0,0,0
"July 13, 2021 at 10:09:41 PM",129.51 KB,???,0,0,0,0
"July 14, 2021 at 10:09:41 PM",129.51 KB,0.38773148148148145,0,0,0,0
"July 15, 2021 at 10:09:41 PM",129.53 KB,0.3844560185185185,0,0,0,0
"July 16, 2021 at 10:09:41 PM",129.51 KB,0.38297453703703704,0,0,0,0
"July 17, 2021 at 10:09:41 PM",129.52 KB,0.3828472222222222,0,0,0,0
"July 18, 2021 at 12:04:41 AM",129.53 KB,0.39115942028985506,0,0,0,0
"July 18, 2021 at 10:09:41 PM",129.52 KB,0.3746163522012579,0,0,0,0
"July 19, 2021 at 10:09:41 PM",129.58 KB,0.38688657407407406,0,0,0,0
"July 20, 2021 at 10:09:41 PM",129.54 KB,0.38351851851851854,0,0,0,0
"July 21, 2021 at 10:09:41 PM",129.54 KB,0.3748611111111111,0,0,0,0
"July 22, 2021 at 10:09:41 PM",129.54 KB,0.3867939814814815,0,0,0,0
"July 23, 2021 at 12:10:41 AM",129.54 KB,0.3867768595041322,0,0,0,0
"July 23, 2021 at 10:09:41 PM",129.54 KB,0.38057872125347486,0,0,0,0
"July 24, 2021 at 10:09:41 PM",129.54 KB,0.38875,0,0,0,0
"July 25, 2021 at 10:09:41 PM",129.55 KB,0.34658564814814813,0,0,0,0
"July 26, 2021 at 10:09:41 PM",129.57 KB,0.29116898148148146,0,0,0,0
"July 27, 2021 at 10:09:41 PM",129.57 KB,0.2885185185185185,0,0,0,0
"July 28, 2021 at 10:09:41 PM",129.57 KB,0.28908564814814813,0,0,0,0
"July 29, 2021 at 10:09:41 PM",129.57 KB,???,0,0,0,0
"July 30, 2021 at 12:13:41 AM",129.57 KB,0.2915322580645161,0,0,0,0
"July 30, 2021 at 10:09:41 PM",129.57 KB,0.2921352583586626,0,0,0,0
"July 31, 2021 at 10:09:41 PM",129.57 KB,0.2928935185185185,0,0,0,0
"August 1, 2021 at 12:12:41 AM",129.57 KB,0.29132791327913277,0,0,0,0
"August 1, 2021 at 10:09:42 PM",129.55 KB,???,0,0,0,0
"August 2, 2021 at 10:09:42 PM",129.54 KB,0.3881828928346582,0,0,0,0
"August 3, 2021 at 10:09:42 PM",129.54 KB,0.38636574074074076,0,0,0,0
"August 4, 2021 at 9:09:42 PM",129.54 KB,0.3864613526570048,0,0,0,0
"August 5, 2021 at 10:09:42 PM",129.54 KB,0.3844666666666667,0,0,0,0
"August 6, 2021 at 12:02:42 AM",129.54 KB,0.3921828908554572,0,0,0,0
"August 6, 2021 at 10:09:41 PM",129.54 KB,???,0,0,0,0
"August 7, 2021 at 10:09:41 PM",129.54 KB,0.38751157407407405,0,0,0,0
"August 8, 2021 at 10:09:41 PM",129.54 KB,0.3894097222222222,0,0,0,0
"August 9, 2021 at 9:09:41 PM",129.54 KB,0.3884057971014493,0,0,0,0
"August 10, 2021 at 10:09:41 PM",129.54 KB,???,0,0,0,0
"August 11, 2021 at 9:09:41 PM",129.54 KB,0.38992753623188403,0,0,0,0
"August 12, 2021 at 10:09:41 PM",129.54 KB,0.38364444444444445,0,0,0,0
"August 13, 2021 at 10:09:41 PM",129.54 KB,0.38386574074074076,0,0,0,0
"August 14, 2021 at 10:09:41 PM",129.54 KB,0.38449074074074074,0,0,0,0
"August 15, 2021 at 10:09:41 PM",129.54 KB,0.3864236111111111,0,0,0,0
"August 16, 2021 at 10:09:41 PM",129.53 KB,0.38859953703703703,0,0,0,0
"August 17, 2021 at 10:09:41 PM",129.48 KB,0.37899305555555557,0,0,0,0
"August 18, 2021 at 10:09:41 PM",129.48 KB,0.38605324074074077,0,0,0,0
"August 19, 2021 at 10:09:41 PM",129.48 KB,0.37267361111111114,0,0,0,0
"August 20, 2021 at 10:09:41 PM",129.48 KB,0.39003472222222224,0,0,0,0
"August 21, 2021 at 10:09:41 PM",129.48 KB,0.3888773148148148,0,0,0,0
"August 22, 2021 at 10:09:41 PM",129.48 KB,0.3684375,0,0,0,0
"August 23, 2021 at 9:09:41 PM",129.48 KB,0.39103864734299515,0,0,0,0
"August 24, 2021 at 10:09:41 PM",129.48 KB,0.3856222222222222,0,0,0,0
"August 25, 2021 at 10:09:41 PM",129.49 KB,0.3427662037037037,0,0,0,0
"August 26, 2021 at 10:09:41 PM",129.50 KB,0.29162037037037036,0,0,0,0
"August 27, 2021 at 10:09:41 PM",129.50 KB,???,0,0,0,0
"August 28, 2021 at 10:09:41 PM",129.50 KB,0.2917361111111111,0,0,0,0
"August 29, 2021 at 10:09:41 PM",129.50 KB,0.29202546296296295,0,0,0,0
"August 30, 2021 at 10:09:41 PM",129.50 KB,0.29225694444444444,0,0,0,0
"August 31, 2021 at 10:09:41 PM",129.50 KB,0.28846064814814815,0,0,0,0
"September 1, 2021 at 10:09:41 PM",129.49 KB,0.35288194444444443,0,0,0,0
"September 2, 2021 at 10:09:41 PM",129.48 KB,0.3889236111111111,0,0,0,0
"September 3, 2021 at 10:09:41 PM",129.48 KB,0.3690162037037037,0,0,0,0
"September 4, 2021 at 12:02:41 AM",129.48 KB,0.39144542772861357,0,0,0,0
"September 4, 2021 at 10:09:41 PM",129.48 KB,0.37243154986184374,0,0,0,0
"September 5, 2021 at 10:09:41 PM",129.48 KB,0.3868287037037037,0,0,0,0
"September 6, 2021 at 10:09:41 PM",129.48 KB,0.38788194444444446,0,0,0,0
"September 7, 2021 at 10:09:41 PM",129.48 KB,0.38752314814814814,0,0,0,0
"September 8, 2021 at 10:09:41 PM",129.48 KB,0.25048611111111113,0,0,0,0
"September 9, 2021 at 10:09:41 PM",129.48 KB,0.33113425925925927,0,0,0,0
"September 10, 2021 at 12:15:41 AM",129.48 KB,0.38386243386243385,0,0,0,0
"September 10, 2021 at 10:09:33 PM",129.48 KB,???,0,0,0,0
"September 11, 2021 at 10:09:33 PM",129.48 KB,0.38778935185185187,0,0,0,0
"September 12, 2021 at 10:09:33 PM",129.48 KB,0.38886574074074076,0,0,0,0
"September 13, 2021 at 10:09:33 PM",129.48 KB,0.3888888888888889,0,0,0,0
"September 14, 2021 at 10:09:33 PM",129.50 KB,0.3590625,0,0,0,0
"September 15, 2021 at 10:09:33 PM",129.49 KB,0.3843402777777778,0,0,0,0
"September 16, 2021 at 10:09:33 PM",129.48 KB,0.36604166666666665,0,0,0,0
"September 17, 2021 at 10:09:33 PM",129.48 KB,0.35560185185185184,0,0,0,0
"September 18, 2021 at 10:09:33 PM",129.48 KB,0.3902893518518519,0,0,0,0
"September 19, 2021 at 10:09:33 PM",129.48 KB,0.39024305555555555,0,0,0,0
"September 20, 2021 at 10:09:33 PM",129.48 KB,0.38863425925925926,0,0,0,0
"September 21, 2021 at 10:09:42 PM",129.48 KB,???,0,0,0,0
"September 22, 2021 at 12:55:42 AM",129.48 KB,0.3891566265060241,0,0,0,0
"September 22, 2021 at 10:09:41 PM",129.48 KB,???,0,0,0,0
"September 23, 2021 at 10:09:41 PM",129.48 KB,0.3894675925925926,0,0,0,0
"September 24, 2021 at 10:09:41 PM",129.48 KB,???,0,0,0,0
"September 25, 2021 at 10:09:41 PM",129.49 KB,0.3369097261216404,0,0,0,0
"September 26, 2021 at 10:09:41 PM",129.50 KB,0.2862384226129812,0,0,0,0
"September 27, 2021 at 10:09:41 PM",129.50 KB,0.27550925925925923,0,0,0,0
"September 28, 2021 at 10:08:41 PM",129.50 KB,0.25898772295575634,0,0,0,0
"September 29, 2021 at 10:09:41 PM",129.50 KB,0.28092759657645155,0,0,0,0
"September 30, 2021 at 10:09:41 PM",129.50 KB,0.28680555555555554,0,0,0,0
"October 1, 2021 at 3:09:41 PM",129.49 KB,0.3364052287581699,0,0,0,0
"October 2, 2021 at 6:09:41 PM",129.48 KB,0.3828909465020576,0,0,0,0
"October 3, 2021 at 9:09:41 PM",129.48 KB,0.3813477327021838,0,0,0,0
"October 4, 2021 at 10:09:41 PM",129.48 KB,0.3847000042744445,0,0,0,0
"October 5, 2021 at 10:09:41 PM",129.48 KB,???,0,0,0,0
"October 6, 2021 at 10:09:41 PM",129.48 KB,0.33425925925925926,0,0,0,0
"October 7, 2021 at 10:09:41 PM",129.48 KB,0.28488425596198774,0,0,0,0
"October 8, 2021 at 10:09:41 PM",129.48 KB,0.28704861111111113,0,0,0,0
"October 9, 2021 at 10:09:41 PM",129.48 KB,0.2846296329239541,0,0,0,0
"October 10, 2021 at 10:09:41 PM",129.48 KB,0.28859953703703706,0,0,0,0
"October 11, 2021 at 11:09:41 PM",129.48 KB,0.28963333333333335,0,0,0,0
"October 12, 2021 at 10:09:41 PM",129.48 KB,???,0,0,0,0
"October 13, 2021 at 10:09:41 PM",129.48 KB,0.2759490740740741,0,0,0,0
"October 14, 2021 at 9:09:41 PM",129.48 KB,0.2893719806763285,0,0,0,0
"October 15, 2021 at 10:09:41 PM",129.48 KB,0.2884111111111111,0,0,0,0
"October 16, 2021 at 10:09:41 PM",129.48 KB,0.2897106481481482,0,0,0,0
"October 17, 2021 at 10:09:41 PM",129.48 KB,0.2912152744072306,0,0,0,0
"October 18, 2021 at 10:09:41 PM",129.48 KB,0.19651620597819683,0,0,0,0
"October 19, 2021 at 10:09:41 PM",129.48 KB,0.09785879629629629,0,0,0,0
"October 20, 2021 at 12:16:41 AM",129.48 KB,0.09776902887139108,0,0,0,0
"October 20, 2021 at 10:09:41 PM",129.48 KB,0.09789286620969789,0,0,0,0
"October 21, 2021 at 10:09:41 PM",129.48 KB,0.10197916666666666,0,0,0,0
"October 22, 2021 at 12:08:41 AM",129.48 KB,0.09789915966386555,0,0,0,0
"October 22, 2021 at 10:09:41 PM",129.50 KB,0.09784254352763058,0,0,0,0
"October 23, 2021 at 10:09:41 PM",129.49 KB,0.10175925925925926,0,0,0,0
"October 24, 2021 at 10:09:41 PM",129.49 KB,0.05589120370370371,0,0,0,0
"October 25, 2021 at 10:09:41 PM",129.50 KB,0,0,0,0,0
"October 26, 2021 at 10:09:41 PM",129.50 KB,0.004224537232617465,0,0,0,0
"October 27, 2021 at 10:09:41 PM",129.50 KB,0,0,0,0,0
"October 28, 2021 at 9:04:41 PM",129.50 KB,0,0,0,0,0
"October 31, 2021 at 10:09:42 PM",129.50 KB,???,0,0,0,0
"November 1, 2021 at 10:09:42 PM",129.49 KB,0.06035879559769912,0,0,0,0
"November 2, 2021 at 10:09:42 PM",129.48 KB,0.10564814814814814,0,0,0,0
"November 3, 2021 at 10:09:42 PM",129.48 KB,0.0986342604008595,0,0,0,0
"November 4, 2021 at 10:09:42 PM",129.50 KB,0.09770833333333333,0,0,0,0
"November 5, 2021 at 10:09:42 PM",129.48 KB,0.09773148148148147,0,0,0,0
"November 6, 2021 at 10:09:42 PM",129.48 KB,0.09769675925925926,0,0,0,0
"November 7, 2021 at 10:09:42 PM",129.48 KB,0.09777777438271618,0,0,0,0
"November 8, 2021 at 10:09:42 PM",129.48 KB,0.10179398501599485,0,0,0,0
"November 9, 2021 at 10:09:42 PM",129.48 KB,0.09784722108973123,0,0,0,0
"November 10, 2021 at 10:09:42 PM",129.48 KB,0.0978356492805052,0,0,0,0
"November 11, 2021 at 9:09:42 PM",129.48 KB,0.10195652173913043,0,0,0,0
"November 12, 2021 at 10:09:42 PM",129.48 KB,0.10561111111111111,0,0,0,0
"November 13, 2021 at 10:09:42 PM",129.48 KB,0.09780092592592593,0,0,0,0
"November 14, 2021 at 10:09:42 PM",129.48 KB,0.09760416666666667,0,0,0,0
"November 15, 2021 at 9:09:42 PM",129.48 KB,0.10208937198067633,0,0,0,0
"November 16, 2021 at 10:09:42 PM",129.48 KB,0.097811110024321,0,0,0,0
"November 17, 2021 at 10:09:42 PM",129.48 KB,0.10516203825419027,0,0,0,0
"November 18, 2021 at 10:09:42 PM",129.48 KB,0.10179398030331041,0,0,0,0
"November 19, 2021 at 10:09:41 PM",129.48 KB,???,0,0,0,0
"November 20, 2021 at 10:09:41 PM",129.48 KB,0.1019212962962963,0,0,0,0
"November 21, 2021 at 10:09:41 PM",129.48 KB,0.10642361111111111,0,0,0,0
"November 22, 2021 at 10:09:41 PM",129.48 KB,0.10185185185185185,0,0,0,0
"November 23, 2021 at 10:09:41 PM",129.48 KB,0.10195601851851852,0,0,0,0
"November 24, 2021 at 10:09:41 PM",129.49 KB,0.051909722222222225,0,0,0,0
"November 25, 2021 at 10:09:41 PM",129.50 KB,0.0038773148148148148,0,0,0,0
"November 26, 2021 at 10:09:41 PM",129.50 KB,0,0,0,0,0
"November 27, 2021 at 10:09:41 PM",129.50 KB,0.004108796296296296,0,0,0,0
"November 28, 2021 at 10:09:41 PM",129.50 KB,0,0,0,0,0
"November 29, 2021 at 10:09:41 PM",129.50 KB,0.008194444444444445,0,0,0,0
"November 30, 2021 at 10:09:41 PM",129.50 KB,0.004907407407407407,0,0,0,0
"December 1, 2021 at 10:09:41 PM",129.49 KB,0.05997685185185185,0,0,0,0
"December 2, 2021 at 10:09:41 PM",129.48 KB,0.09773148148148147,0,0,0,0
"December 3, 2021 at 10:09:41 PM",129.48 KB,0.09773148035033008,0,0,0,0
"December 4, 2021 at 10:09:41 PM",129.48 KB,0.10189814932752488,0,0,0,0
"December 5, 2021 at 10:09:41 PM",129.43 KB,???,0,0,0,0
"December 6, 2021 at 10:09:41 PM",129.43 KB,0.10190972222222222,0,0,0,0
"December 7, 2021 at 10:09:41 PM",129.44 KB,0.09773148035033008,0,0,0,0
"December 8, 2021 at 10:09:41 PM",129.44 KB,0.10568287159355176,0,0,0,0
"December 9, 2021 at 1:06:41 AM",129.43 KB,0.16073446327683616,0,0,0,0
"December 9, 2021 at 10:09:41 PM",129.43 KB,0.10349696489839008,0,0,0,0
"December 10, 2021 at 10:09:41 PM",129.43 KB,0.0978125,0,0,0,0
"December 11, 2021 at 1:06:41 AM",129.43 KB,0.09783427495291902,0,0,0,0
"December 11, 2021 at 10:09:41 PM",129.43 KB,???,0,0,0,0
"December 12, 2021 at 10:09:41 PM",129.43 KB,0.09782407407407408,0,0,0,0
"December 13, 2021 at 10:09:41 PM",129.43 KB,0.10591435185185186,0,0,0,0
"December 14, 2021 at 10:09:41 PM",129.43 KB,0.09778935185185185,0,0,0,0
"December 15, 2021 at 10:09:41 PM",129.43 KB,0.09780092592592593,0,0,0,0
"December 16, 2021 at 10:09:41 PM",129.43 KB,0.09781250113208914,0,0,0,0
"December 17, 2021 at 10:09:41 PM",129.43 KB,0.0977430544242702,0,0,0,0
"December 18, 2021 at 10:09:41 PM",129.43 KB,0.09785879629629629,0,0,0,0
"December 19, 2021 at 10:09:41 PM",129.43 KB,0.09784722222222222,0,0,0,0
"December 20, 2021 at 10:09:41 PM",129.43 KB,0.10597222222222222,0,0,0,0
"December 21, 2021 at 10:09:41 PM",129.41 KB,0.0977662037037037,0,0,0,0
"December 22, 2021 at 10:09:41 PM",129.38 KB,0.09782407407407408,0,0,0,0
"December 23, 2021 at 10:09:41 PM",129.35 KB,0.09884259259259259,0,0,0,0
"December 24, 2021 at 10:09:41 PM",129.31 KB,0.10998842210688349,0,0,0,0
"December 25, 2021 at 10:09:41 PM",129.31 KB,0.07744213231859255,0,0,0,0
"December 26, 2021 at 10:09:41 PM",129.33 KB,0.002534722222222222,0,0,0,0
"December 27, 2021 at 10:09:41 PM",129.33 KB,0.005474537037037037,0,0,0,0
"December 28, 2021 at 10:09:41 PM",129.33 KB,0,0,0,0,0
"December 30, 2021 at 10:09:41 PM",129.33 KB,0.0022337962962962962,0,0,0,0
"December 31, 2021 at 10:09:41 PM",129.33 KB,0.003993055555555555,0,0,0,0
"January 1, 2022 at 10:09:41 PM",129.32 KB,0.059930555555555556,0,0,0,0
"January 2, 2022 at 10:09:41 PM",129.31 KB,0.10172453703703704,0,0,0,0
"January 3, 2022 at 10:09:41 PM",129.31 KB,0.09763888888888889,0,0,0,0
"January 4, 2022 at 10:09:41 PM",129.31 KB,0.09778935185185185,0,0,0,0
"January 5, 2022 at 11:09:41 PM",129.31 KB,0.09761111219567903,0,0,0,0
"January 6, 2022 at 10:09:41 PM",129.31 KB,0.09753623070608416,0,0,0,0
"January 7, 2022 at 10:09:41 PM",129.31 KB,0.10172453821440439,0,0,0,0
"January 8, 2022 at 10:09:41 PM",129.31 KB,0.09761573961092894,0,0,0,0
"January 9, 2022 at 10:09:41 PM",129.31 KB,0.09773148148148147,0,0,0,0
"January 10, 2022 at 10:09:41 PM",129.31 KB,0.09770833333333333,0,0,0,0
"January 11, 2022 at 1:05:41 AM",129.31 KB,0.09753786955133811,0,0,0,0
"January 11, 2022 at 11:09:41 PM",129.31 KB,0.10216515737871548,0,0,0,0
"January 12, 2022 at 10:09:41 PM",129.31 KB,???,0,0,0,0
"January 13, 2022 at 10:09:41 PM",129.31 KB,0.09773148035033008,0,0,0,0
"January 14, 2022 at 10:09:41 PM",129.31 KB,0.09770833446421684,0,0,0,0
"January 15, 2022 at 10:09:41 PM",129.31 KB,0.09777777777777778,0,0,0,0
"January 16, 2022 at 10:09:41 PM",129.31 KB,0.10193287037037037,0,0,0,0
"January 17, 2022 at 10:09:41 PM",129.31 KB,0.09773148148148147,0,0,0,0
"January 18, 2022 at 10:09:41 PM",129.31 KB,0.09768518518518518,0,0,0,0
"January 19, 2022 at 10:09:41 PM",129.31 KB,0.09777777777777778,0,0,0,0
