date (utc),connections,logical size,command (/s),query (/s),update (/s),delete (/s),insert (/s)
"August 27, 2020 at 10:08:41 PM",114.95 KB,0.08912439193884641,0,0,0,0
"August 28, 2020 at 12:08:41 AM",114.96 KB,0.0973611111111111,0,0,0,0
"August 28, 2020 at 10:09:41 PM",114.96 KB,0.09222811001766339,0,0,0,0
"August 29, 2020 at 10:08:41 PM",114.96 KB,0.09444058483252936,0,0,0,0
"August 30, 2020 at 10:08:41 PM",115.12 KB,0.09569444333686987,0,0,0,0
"August 31, 2020 at 10:08:41 PM",115.31 KB,0.09516203703703703,0,0,0,0
"September 1, 2020 at 10:08:41 PM",115.34 KB,0.09590277777777778,0,0,0,0
"September 2, 2020 at 10:08:41 PM",115.34 KB,0.09067129629629629,0,0,0,0
"September 3, 2020 at 9:08:41 PM",115.36 KB,0.10114734299516909,0,0,0,0
"September 4, 2020 at 8:08:41 PM",116.05 KB,0.09728260869565217,0,0,0,0
"September 5, 2020 at 10:08:41 PM",116.82 KB,0.10106837606837607,0,0,0,0
"September 6, 2020 at 10:09:41 PM",117.02 KB,0.09716631968540365,0,0,0,0
"September 7, 2020 at 10:08:41 PM",117.02 KB,0.09723187398656474,0,0,0,0
"September 8, 2020 at 10:08:41 PM",117.01 KB,0.09722222222222222,0,0,0,0
"September 9, 2020 at 10:08:41 PM",117.04 KB,???,0,0,0,0
"September 10, 2020 at 12:16:41 AM",116.99 KB,0.09622395833333333,0,0,0,0
"September 10, 2020 at 10:08:41 PM",116.99 KB,0.0972560963255069,0,0,0,0
"September 11, 2020 at 10:08:41 PM",116.99 KB,0.09744212962962963,0,0,0,0
"September 12, 2020 at 10:08:41 PM",117.10 KB,0.09746527777777778,0,0,0,0
"September 13, 2020 at 10:09:41 PM",117.16 KB,0.09598658450134842,0,0,0,0
"September 14, 2020 at 9:08:41 PM",117.37 KB,0.09718394972202078,0,0,0,0
"September 15, 2020 at 10:09:41 PM",117.82 KB,0.09735731626296562,0,0,0,0
"September 16, 2020 at 10:08:41 PM",119.52 KB,0.09716238128329859,0,0,0,0
"September 17, 2020 at 10:08:41 PM",120.29 KB,0.0975,0,0,0,0
"September 18, 2020 at 8:09:41 PM",120.79 KB,0.1019177390865506,0,0,0,0
"September 19, 2020 at 9:09:41 PM",122.00 KB,0.08871111111111112,0,0,0,0
"September 20, 2020 at 9:09:41 PM",122.64 KB,0.10049768634835285,0,0,0,0
"September 21, 2020 at 10:09:41 PM",123.19 KB,0.09735555447382717,0,0,0,0
"September 22, 2020 at 9:09:41 PM",123.07 KB,0.09741546011371328,0,0,0,0
"September 23, 2020 at 10:08:41 PM",123.16 KB,0.09739826442741534,0,0,0,0
"September 24, 2020 at 10:09:41 PM",122.90 KB,0.09744390582285341,0,0,0,0
"September 25, 2020 at 9:08:41 PM",123.38 KB,0.08183466181007176,0,0,0,0
"September 26, 2020 at 10:08:41 PM",123.84 KB,0.1947111111111111,0,0,0,0
"September 27, 2020 at 10:09:41 PM",123.89 KB,0.1949340758146435,0,0,0,0
"September 28, 2020 at 10:09:41 PM",123.78 KB,0.1917592570398234,0,0,0,0
"September 29, 2020 at 10:09:41 PM",123.92 KB,0.19449074074074074,0,0,0,0
"September 30, 2020 at 9:09:42 PM",124.41 KB,???,0,0,0,0
"October 1, 2020 at 9:08:42 PM",124.34 KB,0.1957146166319203,0,0,0,0
"October 2, 2020 at 10:08:42 PM",124.33 KB,0.19412222222222222,0,0,0,0
"October 3, 2020 at 12:00:42 AM",124.32 KB,0.19479166666666667,0,0,0,0
"October 3, 2020 at 10:09:42 PM",124.64 KB,0.19522197140707298,0,0,0,0
"October 4, 2020 at 9:08:42 PM",124.46 KB,0.1950568044476674,0,0,0,0
"October 5, 2020 at 10:09:42 PM",124.61 KB,0.19477015323117922,0,0,0,0
"October 6, 2020 at 10:09:42 PM",124.81 KB,0.19435185185185186,0,0,0,0
"October 7, 2020 at 10:08:41 PM",124.89 KB,???,0,0,0,0
